epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2050.22,0.55159,0.57466,0.00241,0.89018,0.81474,0.91731,0.84267,0.56921,0.5577,0.00321,0.0011882,0.0011882,0.0011882
43,2094.86,0.57364,0.59426,0.00247,0.82515,0.88981,0.91793,0.84982,0.54224,0.54368,0.00325,0.0011684,0.0011684,0.0011684
44,2140.32,0.53798,0.56167,0.00233,0.86479,0.88222,0.91912,0.85188,0.54826,0.53725,0.0034,0.0011486,0.0011486,0.0011486
45,2184.32,0.53347,0.56884,0.00226,0.85699,0.8925,0.91881,0.8445,0.5556,0.54374,0.00335,0.0011288,0.0011288,0.0011288
46,2229.45,0.49808,0.52089,0.00214,0.84718,0.89875,0.92521,0.84092,0.57556,0.53103,0.00361,0.001109,0.001109,0.001109
47,2275.03,0.56184,0.56198,0.00234,0.85579,0.90315,0.92589,0.83657,0.57116,0.53301,0.00343,0.0010892,0.0010892,0.0010892
48,2320.49,0.52001,0.53122,0.00235,0.83623,0.90829,0.9259,0.84909,0.54968,0.52783,0.00327,0.0010694,0.0010694,0.0010694
49,2366.32,0.56699,0.55704,0.00235,0.86414,0.89068,0.93148,0.83522,0.59312,0.5271,0.00343,0.0010496,0.0010496,0.0010496
50,2413.6,0.58704,0.57939,0.00258,0.87429,0.90462,0.93168,0.85811,0.54101,0.51518,0.00335,0.0010298,0.0010298,0.0010298
51,2464.71,0.56259,0.55145,0.00242,0.85165,0.91123,0.92764,0.84426,0.56167,0.53063,0.00316,0.00101,0.00101,0.00101
52,2514.86,0.54055,0.54898,0.00241,0.86938,0.88389,0.92505,0.84728,0.54989,0.52514,0.0032,0.0009902,0.0009902,0.0009902
53,2567.22,0.56825,0.5348,0.00224,0.8851,0.86472,0.92585,0.85574,0.55132,0.51459,0.00336,0.0009704,0.0009704,0.0009704
54,2615.3,0.50857,0.50882,0.00207,0.84016,0.8908,0.9245,0.85728,0.52689,0.51608,0.00327,0.0009506,0.0009506,0.0009506
55,2664.34,0.57019,0.55095,0.00258,0.91279,0.84474,0.92968,0.86465,0.52268,0.49423,0.00304,0.0009308,0.0009308,0.0009308
56,2715.56,0.53606,0.54587,0.00238,0.87828,0.87968,0.93029,0.86242,0.51525,0.49546,0.00299,0.000911,0.000911,0.000911
57,2767.3,0.51665,0.52748,0.00233,0.90902,0.86504,0.93199,0.86887,0.51593,0.48529,0.003,0.0008912,0.0008912,0.0008912
58,2817.75,0.4749,0.48579,0.00201,0.93506,0.854,0.93433,0.86765,0.51189,0.4714,0.00303,0.0008714,0.0008714,0.0008714
59,2868.48,0.50985,0.51409,0.00227,0.90664,0.86928,0.9305,0.85572,0.54837,0.48679,0.00335,0.0008516,0.0008516,0.0008516
60,2919.28,0.49158,0.5013,0.00218,0.93205,0.87551,0.93351,0.86469,0.51699,0.46649,0.00324,0.0008318,0.0008318,0.0008318
61,2970.32,0.49662,0.49675,0.0022,0.92505,0.87839,0.93421,0.86854,0.51404,0.46199,0.00318,0.000812,0.000812,0.000812
62,3022.66,0.51178,0.51673,0.00215,0.91748,0.88114,0.93367,0.85974,0.53272,0.47686,0.00329,0.0007922,0.0007922,0.0007922
63,3073.33,0.4988,0.49593,0.00213,0.92949,0.88018,0.93738,0.87069,0.51892,0.45226,0.00313,0.0007724,0.0007724,0.0007724
64,3124.14,0.51671,0.50829,0.00235,0.92815,0.87194,0.93718,0.87005,0.52801,0.45199,0.00325,0.0007526,0.0007526,0.0007526
65,3174.04,0.44907,0.46184,0.00197,0.9387,0.87014,0.93482,0.86861,0.5281,0.45429,0.00343,0.0007328,0.0007328,0.0007328
66,3224.65,0.48462,0.48181,0.0021,0.94152,0.87403,0.93462,0.86707,0.52245,0.45193,0.00339,0.000713,0.000713,0.000713
67,3275.42,0.50745,0.49764,0.00209,0.91845,0.89288,0.934,0.86343,0.51847,0.45561,0.00326,0.0006932,0.0006932,0.0006932
68,3326.63,0.4702,0.46228,0.00203,0.91645,0.87087,0.93351,0.86413,0.52387,0.46071,0.00323,0.0006734,0.0006734,0.0006734
69,3378.1,0.4766,0.46034,0.00198,0.8917,0.87821,0.93228,0.86425,0.52492,0.4615,0.00324,0.0006536,0.0006536,0.0006536
70,3428.09,0.458,0.47026,0.00225,0.93852,0.83996,0.93137,0.86306,0.51761,0.46376,0.00322,0.0006338,0.0006338,0.0006338
71,3478.8,0.48632,0.47377,0.00213,0.89798,0.87827,0.93051,0.86163,0.5248,0.4727,0.00314,0.000614,0.000614,0.000614
72,3532.91,0.48134,0.46372,0.00206,0.91363,0.87821,0.93117,0.86143,0.5177,0.47318,0.00313,0.0005942,0.0005942,0.0005942
73,3588.74,0.47161,0.45694,0.00204,0.92056,0.87968,0.93298,0.86587,0.51177,0.47087,0.00302,0.0005744,0.0005744,0.0005744
74,3644.07,0.53612,0.49127,0.00219,0.91527,0.87894,0.93289,0.86233,0.52139,0.47371,0.00307,0.0005546,0.0005546,0.0005546
75,3702.11,0.47606,0.45516,0.00198,0.89768,0.87454,0.92993,0.8631,0.51079,0.47491,0.00295,0.0005348,0.0005348,0.0005348
76,3756.71,0.46304,0.4612,0.00213,0.9118,0.87985,0.93117,0.86205,0.51232,0.45681,0.00309,0.000515,0.000515,0.000515
77,3814.57,0.46695,0.45957,0.0021,0.91288,0.88188,0.93239,0.85995,0.52918,0.45561,0.00326,0.0004952,0.0004952,0.0004952
78,3868.28,0.47977,0.46869,0.00219,0.9011,0.88041,0.93166,0.86726,0.50458,0.46142,0.00283,0.0004754,0.0004754,0.0004754
79,3921.37,0.48025,0.46579,0.00208,0.91731,0.87894,0.93067,0.86777,0.49764,0.45578,0.00289,0.0004556,0.0004556,0.0004556
80,3974.61,0.4609,0.45472,0.00194,0.91478,0.88481,0.93021,0.87089,0.48752,0.45539,0.00282,0.0004358,0.0004358,0.0004358
81,4028.18,0.50162,0.48057,0.00226,0.91672,0.87217,0.92984,0.85595,0.52877,0.46481,0.00297,0.000416,0.000416,0.000416
82,4082.37,0.50909,0.47774,0.00215,0.90764,0.87241,0.92892,0.8547,0.53246,0.46525,0.00298,0.0003962,0.0003962,0.0003962
83,4135.71,0.47051,0.46764,0.00208,0.91271,0.86685,0.92856,0.86863,0.49595,0.45593,0.00308,0.0003764,0.0003764,0.0003764
84,4188.33,0.49511,0.46515,0.00219,0.91535,0.87528,0.92902,0.86723,0.49814,0.45262,0.00308,0.0003566,0.0003566,0.0003566
85,4240.34,0.48494,0.46792,0.00217,0.91252,0.88007,0.92922,0.86725,0.49876,0.453,0.00304,0.0003368,0.0003368,0.0003368
86,4293.92,0.46831,0.45134,0.00198,0.90479,0.87968,0.92769,0.86472,0.51277,0.4637,0.00303,0.000317,0.000317,0.000317
87,4349.99,0.45229,0.43696,0.00188,0.94654,0.84438,0.92678,0.86318,0.50494,0.46356,0.00306,0.0002972,0.0002972,0.0002972
88,4402.48,0.45584,0.428,0.00202,0.94647,0.84313,0.92759,0.86603,0.49336,0.46048,0.00298,0.0002774,0.0002774,0.0002774
89,4454.07,0.4386,0.43506,0.00203,0.90484,0.87203,0.92835,0.86541,0.48777,0.4592,0.00282,0.0002576,0.0002576,0.0002576
90,4506.2,0.44678,0.42892,0.00189,0.94415,0.84332,0.92873,0.86493,0.49417,0.45961,0.00294,0.0002378,0.0002378,0.0002378
91,4550.15,0.45275,0.49738,0.00243,0.92877,0.88008,0.93158,0.86723,0.5059,0.45157,0.00297,0.000218,0.000218,0.000218
92,4593.44,0.44509,0.47711,0.00236,0.92415,0.88335,0.93077,0.85843,0.52997,0.47353,0.00314,0.0001982,0.0001982,0.0001982
93,4636.39,0.43578,0.45765,0.00246,0.92108,0.88192,0.92979,0.85801,0.52737,0.47568,0.00304,0.0001784,0.0001784,0.0001784
94,4679.34,0.44306,0.48733,0.00233,0.92494,0.87528,0.93291,0.86413,0.51301,0.47654,0.00295,0.0001586,0.0001586,0.0001586
95,4722.36,0.43301,0.46276,0.00233,0.92759,0.87404,0.931,0.85816,0.51579,0.4814,0.00297,0.0001388,0.0001388,0.0001388
96,4765.26,0.44562,0.47341,0.00232,0.92832,0.87411,0.93119,0.85486,0.52519,0.48534,0.00315,0.000119,0.000119,0.000119
97,4809.31,0.43274,0.45147,0.00242,0.92824,0.87308,0.93087,0.85421,0.52846,0.48386,0.0031,9.92e-05,9.92e-05,9.92e-05
98,4853.82,0.44876,0.45733,0.00229,0.9274,0.87156,0.93005,0.85384,0.52987,0.48744,0.00311,7.94e-05,7.94e-05,7.94e-05
99,4899.36,0.42997,0.45894,0.00226,0.92741,0.86794,0.931,0.85817,0.52818,0.48425,0.00326,5.96e-05,5.96e-05,5.96e-05
100,4946.87,0.42829,0.45352,0.00228,0.92873,0.87003,0.93086,0.85851,0.52265,0.47926,0.00314,3.98e-05,3.98e-05,3.98e-05
